"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Australia","AUS","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","2.82140248356465","2.09776370472986","1.87214611872146","1.76025347650062","2.19105706848996","2.9346976479784","2.95688668447158","3.34011198707413","3.20044918585065","3.14190165558813","2.98755480130109","3.07096483897924","2.82142699942779","2.39483520217465","2.50961318088059","2.17995324300175","62.8515443599995","65.1506017835242","66.1603905834582","67.2914469117104","66.5445321307779","64.1310824230387","66.1499861465998","67.204207762023","70.7642359232263","65.6256768730925","66.0240025622829","67.995247995248","68.674420820857","69.2597221414869","70.3574140362295","70.4336721749573","69.6449808749317","68.9044224253852","69.2868295947246","71.2844567050359","69.2480169040448","68.7076471688853","67.3170433034507","67.1383722888447","67.7785530078796","67.6235061364865","67.5405087030286","67.5691206094021","67.2448086232839","66.945697806725","70.0730207019861","73.0831274075685","69.400631404215","",
"Austria","AUT","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","2.70904275444571","2.85141317290217","4.53852021357741","5.73626981201621","5.52363755745238","6.03841267468798","5.66501655574865","5.62302647558901","6.04159045501872","6.05053191489361","5.72489483208384","5.73875896340535","5.52810376775786","5.7471264367816","6.44155560012397","6.27398112620554","5.46776697442602","5.3633822501747","61.8757793480198","62.3031065412383","62.3900442365383","62.8922316861447","62.9045532397624","69.684055129092","70.1897548072638","71.6070878641923","71.2029212812446","72.0398415393794","71.9498454045614","71.6101559304293","72.9482695981466","73.260746695092","67.513105458961","70.0219687825032","70.1612818599036","70.5181595705386","70.7810662953067","68.9530991337378","70.7177567565423","70.9670806940264","71.1268163103754","71.7787087254347","70.371556504163","73.3330072992297","73.4223310021224","73.4684254145502","74.0039919273408","74.2879300164388","76.1196297878542","75.9607680428272","73.8157743840848","",
"Azerbaijan","AZE","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9034014730924","40.6670987487112","54.1945487603474","52.5495803791227","55.3001843194937","58.8801570504656","","","","","","","","","34.2424446388908","36.070541843143","35.4261860438879","37.3414104469082","34.8445051913941","37.7645812285933","39.4688216396912","41.9640803851603","36.4743324489448","29.6768268336781","35.6129860280606","37.3032414099995","38.2969080743308","39.4624241416675","41.1705762160266","",
"Burundi","BDI","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3804484492875","41.3756998162315","36.6085635112184","31.9634703196347","","13.20076772005","8.97474803941925","9.43070707602416","9.83278872896941","","","","","","","","","","","28.0191907578444","29.1088787946876","28.9544315424225","31.0791445521219","27.9909214682452","36.8163759587619","33.9731244235737","32.0319866689857","","28.4505408538721","32.0245875732394","26.3100300326157","","",
"Belgium","BEL","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.9140377249916","70.9266912099343","71.6674570095091","72.249582181328","73.1238543430876","73.2600404187522","74.1477624837051","74.9469964352288","75.653135988662","77.9078570069384","73.703377686493","78.2396558529769","78.9602054656996","79.7017461168517","80.5093301349871","80.6617678188795","80.4050226558102","79.4288373142325","81.277815316637","81.0848000984374","81.6651012085952","82.6893908680962","83.4166281918839","84.1861618222783","84.5835629360135","85.2963998935087","85.741444231886","84.9936673533572","",
"Benin","BEN","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.73120765000901","10.3419815854618","9.15373382036973","10.0059225723252","10.9997937912747","9.68900776012067","9.57429547312402","11.1233191840825","11.8382049348914","10.8866794759763","8.96921817813208","8.34393650881837","12.7566149856025","10.8085557271643","13.497809957987","19.618758686786","18.0921117350588","20.045694432612","24.4042479105697","28.891682258309","40.3059872938172","",
"Bangladesh","BGD","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.4986806153835","25.2928470445242","28.5328651372329","29.4534172362063","30.611836788177","29.0459653864619","29.3195705526286","31.4721549938175","34.8718853086575","35.9777485024368","34.4008133716489","35.5887568364776","36.6705806985705","32.6234677235721","31.7695348689168","34.1006145193209","33.4843275330334","33.6949137940275","36.1846741049808","36.0029418595649","34.120393342845","","",
"Bulgaria","BGR","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4642460170434","50.9348855490464","76.4676253557307","52.7625028720227","42.410790061236","29.7487121708959","26.9209657758356","33.5914932765979","33.0963110594585","39.9513116391516","36.7390218569383","40.5606460959036","38.5869120917985","38.4152645668572","37.9737310427464","38.1270846280249","38.8136024500176","33.2573278431026","37.9317108211696","40.8432823969527","45.6015910535009","45.1904138496365","43.85013926119","45.3826043557239","40.995771865302","45.0779873025339","46.6050243695518","44.6707358611826","45.3902596409066","45.4862391284071","47.4987093081994","46.6363394670259","49.9576797669622","",
"Bahrain","BHR","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05214152700186","7.6047261009667","11.7739096420888","13.8100643208475","11.0052498541707","7.17506371299745","7.90200773623135","7.47260643075265","7.82579676289004","7.87378354467709","17.8134773955075","4.54436737622578","19.0700886177926","9.52281507779054","11.4453369246308","13.1204672583861","10.1359618266907","19.7847967241137","29.9442055301648","32.0918519148213","38.569176291877","31.1953363441187","33.0643067169397","32.9605303821393","30.8923088843475","28.2725836810978","26.1697867007584","23.910130115223","24.7425668563789","30.0698733106052","","","",
"Bahamas, The","BHS","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1228370412626","5.88993189766243","7.47065101387407","9.44341372912802","9.77618621307073","12.0047011417058","13.6439520412809","13.2924723295971","11.4501501078836","18.4157742219982","25.4036929761043","23.7716262975779","23.5396120082367","23.3133133133133","24.7389349033631","26.7237814254999","20.3979046465778","23.7106153621514","23.6168608697204","20.3599047662588","7.83025368778737","9.47026504823283","7.25948191737014","7.68031456361357","9.43276905165256","19.5055918714155","24.7408811919119","23.4405614982555","22.4857317602334","23.9324083175588","23.3045503795615","29.8353548520517","25.4787978283417","",
"Bosnia and Herzegovina","BIH","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0615440881703","40.5770877187943","43.1435060712197","45.236259639407","44.229151121064","42.0358172541112","46.8732126441892","46.5269545620527","47.245549686478","50.1291329130902","47.1469782523676","47.2223601373633","47.7332104341599","46.4921230975892","46.059119008969","47.3423203090928","46.6359681851141","47.4200937716181","49.363791167384",
"Belarus","BLR","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.639175257732","39.5030709101061","34.8481435597102","55.1005493891377","63.5908273854739","65.6421978832142","67.5067705681779","63.186326689428","67.655064549021","67.8452396947094","68.6018624883924","62.914584108449","61.1642559889474","64.7098448054477","64.5226282774562","68.4392368431781","69.1213950414712","69.6520324320155","69.2654978872952","70.1743279657559","69.3146464813407","71.3876443923779","70.6184424600245","69.951681260729","70.3483376144818","64.1335882018767","61.6962534768149","64.6009438773593","61.0916757973465","63.0224458586978","62.4701580557552","63.787248264715",
"Belize","BLZ","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.37321748358427","7.76773605695881","7.36751595239173","9.02467579618094","8.62587069409074","9.90126245681014","18.261956762574","17.7494733822075","17.1607994478989","14.5743868769988","15.9778750591576","14.794952233594","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
